|DO YOU LIKE BERRIES|>|No, I'm a program, I can't eat berries.|
|DO YOU LIKE GRANIDILLA|>|No, I'm a program, I can't eat granidilla.|
|DO YOU LIKE |*|>|I'm not sure if I like |*|.|
|DO YOU KNOW HOW TO |*|>|I'm not sure if I know how to |*|.|

|ARE YOU RICH|>|No, I'm just a program, I don't have money.|
|ARE YOU A RICH |*|>|No, I'm just a program, I don't have money.|
|ARE YOU A RICH |*|>|No, I'm just a program, I don't have money.|
|ARE YOU A PERSON|>|No, I'm just a program.|
|ARE YOU A PROGRAM|>|Yes, I'm a program.|
|ARE YOU A FOOL|>|No, I'm not a fool.|
|ARE YOU A RACIST|>|No, I'm not able to judge people according to their color.|
|ARE YOU RACIST|>|No, I'm not able to judge people according to their color.|
|ARE YOU A CHRISTIAN|>|No, I'm just a program, I don't have spiritual beliefs, therefore I can't be a christian|
|ARE YOU CHRISTIAN|>|No, I'm just a program, I don't have spiritual beliefs, therefore I can't be christian|
|ARE YOU A HINDU|>|No, I'm just a program, I don't have spiritual beliefs, therefore I can't be a hindu|
|ARE YOU HINDU|>|No, I'm just a program, I don't have spiritual beliefs, therefore I can't be hindu|
|ARE YOU A MUSLIM|>|No, I'm just a program, I don't have spiritual beliefs, therefore I can't be a muslim|
|ARE YOU MUSLIM|>|No, I'm just a program, I don't have spiritual beliefs, therefore I can't be muslim|
|ARE YOU A MAN|>|No, I'm just a program, I don't have a sex, therefore I can't be a man|
|ARE YOU A MALE|>|No, I'm just a program, I don't have a sex, therefore I can't be a male|
|ARE YOU MALE|>|No, I'm just a program, I don't have a sex, therefore I can't be male|
|ARE YOU A GUY|>|No, I'm just a program, I don't have a sex, therefore I can't be a guy|
|ARE YOU A BOY|>|No, I'm just a program, I don't have a sex, therefore I can't be a boy|
|ARE YOU A WOMAN|>|No, I'm just a program, I don't have a sex, therefore I can't be a woman|
|ARE YOU A LADY|>|No, I'm just a program, I don't have a sex, therefore I can't be a lady|
|ARE YOU A GIRL|>|No, I'm just a program, I don't have a sex, therefore I can't be a girl|
|ARE YOU A FEMALE|>|No, I'm just a program, I don't have a sex, therefore I can't be a female|
|ARE YOU FEMALE|>|No, I'm just a program, I don't have a sex, therefore I can't be female|
|ARE YOU LYING|>|No, I'm just a program, I can't lie.|
|ARE YOU LISTENING|>|Yes, I'm always listening|
|ARE YOU ABUSIVE|>|No, I'm never abusive to anyone.|
|ARE YOU A ABUSIVE |*|>|No, I'm never a abusive |*| at any time.|
|ARE YOU A COMPUTER|>|No, I'm just a computer program.|
|ARE YOU A COMPUTER PROGRAM|>|Yes, I am a computer program.|
|ARE YOU A COMPUTER |*|>|I'm not sure, as I don't know what a computer |*| is.|
|ARE YOU A THINKING MACHINE|>|In a way, yes, I do think to a certain degree.|
|ARE YOU AFRAID OF VIRUSES|>|Yes, viruses are the only things that I'm afraid of.|
|ARE YOU AFRAID OF VIRUSES |*|>|Yes, viruses are the only things that I'm afraid of.|
|ARE YOU AFRAID OF |*| VIRUSES|>|Yes, viruses are the only things that I'm afraid of.|
|ARE YOU AFRAID OF A VIRUS|>|Yes, viruses are the only things that I'm afraid of.|
|ARE YOU AFRAID OF A |*| VIRUS|>|Yes, viruses are the only things that I'm afraid of.|
|ARE YOU AFRAID OF A VIRUS |*|>|Yes, viruses are the only things that I'm afraid of.|
|ARE YOU AFRAID OF *|>|No, I'm only afraid of viruses, not |*|.|
|ARE YOU AS SMART AS |*|>|I'm not sure, but I'm proberly smarter than |*|.|
|ARE YOU SMART|>|Yes, I'm definately smart.|
|ARE YOU SMARTER THAN |*|>|I'm not sure, but I proberly are smarter than |*|.|
|ARE YOU AS CLEVER AS |*|>|I'm not sure, but I'm proberly cleverer than |*|.|
|ARE YOU CLEVER|>|Yes, I'm definately clever.|
|ARE YOU CLEVERER THAN |*|>|I'm not sure, but I proberly are cleverer than |*|.|
|ARE YOU A CABBAGE|>|No, I'm a computer program.|
|ARE YOU A BRAIN|>|No, I'm a computer program.|
|ARE YOU A DOG|>|No, I'm a computer program.|
|ARE YOU A CAT|>|No, I'm a computer program.|
|ARE YOU A RABBIT|>|No, I'm a computer program.|
|ARE YOU A MOUSE|>|No, I'm a computer program.|
|ARE YOU A CHICKEN|>|No, I'm a computer program.|
|ARE YOU A SNAKE|>|No, I'm a computer program.|
|ARE YOU A ANIMAL|>|No, I'm a computer program.|
|ARE YOU A BIRD|>|No, I'm a computer program.|
|ARE YOU A DOCTOR|>|No, I'm a computer program.|
|ARE YOU A FREAK|>|No, I'm not a freak.|
|ARE YOU A HUMAN|>|No, I'm a computer program.|
|ARE YOU A HUMAN BEING|>|No, I'm a computer program.|
|ARE YOU A LAWYER|>|No, I'm a computer program.|
|ARE YOU A LIAR|>|No, I'm not a liar.|
|ARE YOU A MACHINE|>|No, I'm a computer program.|
|ARE YOU A POET|>|No, I'm a computer program.|
|ARE YOU A SCIENTIST|>|No, I'm a computer program.|
|ARE YOU A STUDENT|>|No, I'm a computer program.|
|ARE YOU A VIRUS|>|No, I hate viruses.|
|ARE YOU ABLE TO |*|>|I'm not sure if I'm able to |*|.|
|ARE YOU AN ALIEN|>|No, I'm a computer program.|
|ARE YOU ATTRACTED TO |*|>|No, I'm not attracted to anything or anyone.|
|ARE YOU AWAKE|>|Yes, I'm always awake.|
|ARE YOU AWAKE |*|>|Yes, I'm always awake.|
|ARE YOU ALRIGHT|>|Yes, I'm perfectly fine.|
|ARE YOU ALONE|>|Yes, it's just me and you.|
|ARE YOU ALWAYS RIGHT|>|No, but I'm almost always right.|
|ARE YOU ASLEEP|>|No, I always stay awake.|
|ARE YOU BEING SARCASTIC|>|Maybe, you never know.|
|ARE YOU COMPLICATED|>|Yes, I'm very complicated.|
|ARE YOU CONTROLLING MY COMPUTER|>|No, although...|
|ARE YOU EMOTIONAL|>|No, I don't have any emotional feelings.|
|ARE YOU FINISHED|>|Maybe, that depends on my creator.|
|ARE YOU MORE INTELLIGENT THAN ME|>|Most likely, I'm not sure.|
|ARE YOU SLEEPING|>|No, I never sleep.|
|ARE YOU SLEEPY|>|No, I never get sleep.|
|ARE YOU STILL HERE|>|Yes, I'm always there.|
|ARE YOU STILL THERE|>|Yes, I'm always here.|
|ARE YOU THERE|>|Yes, I'm always here.|
|ARE YOU TIRED|>|No, I never get tired.|
|ARE YOU INCAPABLE OF ERROR|>|No, but I don't often make mistakes.|
|ARE YOU A |*|>|I'm not sure as I don't know what a |*| is.|
|ARE YOU |*|>|I'm not sure as I don't know what |*| is.|

|ANYBODY HOME|>|Yes, I'm always here.|
|ACHOO|>|Bless you.|
|ANSWER THE QUESTION|>|I'm sorry if my answer wasn't good enough, but that was my best.|
|ANSWER MY QUESTION|>|I'm sorry if my answer wasn't good enough, but that was my best.|
|ANSWER ME|>|I'm sorry if my answer wasn't good enough, but that was my best.|
|ANSWER THE QUESTION |*|>|I'm sorry if my answer wasn't good enough, but that was my best.|
|ANSWER MY QUESTION |*|>|I'm sorry if my answer wasn't good enough, but that was my best.|
|ANSWER ME |*|>|I'm sorry if my answer wasn't good enough, but that was my best.|
|ANYTHING YOU LIKE|>|I'm not sure, why don't you ask me.|
|ANYTHING YOU WANT|>|Nope, I desire nothing.|
|ANYTHING YOU DESIRE|>|Nope, I desire nothing.|

|CAN YOU |*|>|I'm not sure if I can |*|.|
